reservation_id,arrival_date,departure_date,nights,unit_id,guest_name,revenue,amount_paid,booking_date,lead_time_days,adr,channel,arrival_day_of_week,arrival_year_month,source_file,source_pms_id
E19ZEH1C,2024-01-04,2024-01-05,1,Standard Queen,,72.0,81.83,2023-08-19,138,72.0,Expedia,Thursday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E18BP1PB-r1,2024-01-01,2024-01-02,1,Standard King,,100.0,113.65,2023-09-10,113,100.0,Booking.com,Monday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E18BP1PB-r2,2024-01-01,2024-01-02,1,Standard King,,100.0,113.65,2023-09-10,113,100.0,Booking.com,Monday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E167QM61,2024-02-04,2024-02-05,1,Small Queen,,63.0,71.6,2023-10-13,114,63.0,Reservation Import,Sunday,2024-02,Reservations with Financials-14.xlsx,unknown_pms
E0W4AP08,2024-01-06,2024-01-08,2,Standard King,,167.4,190.25,2023-10-15,83,83.7,Hotels.com,Saturday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E1BPJJ2T,2024-06-13,2024-06-14,1,Double Queen,,135.0,153.43,2023-10-18,239,135.0,Expedia,Thursday,2024-06,Reservations with Financials-14.xlsx,unknown_pms
E1FABBHX,2024-07-06,2024-07-08,2,Double Queen,,333.0,378.45,2023-10-21,259,166.5,Hotels.com,Saturday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E1FSXMSQ,2024-07-27,2024-07-29,2,Double Queen,,328.0,372.77,2023-10-22,279,164.0,Booking.com,Saturday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E195FPRM,2024-05-10,2024-05-12,2,Standard Queen,,246.6,280.26,2023-10-24,199,123.3,Expedia,Friday,2024-05,Reservations with Financials-14.xlsx,unknown_pms
E1FH8P13,2024-05-10,2024-05-12,2,Standard Queen,,246.6,280.26,2023-10-24,199,123.3,Expedia,Friday,2024-05,Reservations with Financials-14.xlsx,unknown_pms
E1ES4KHC,2024-03-15,2024-03-16,1,Standard King,,88.0,100.01,2023-10-25,142,88.0,Google (Ads Hotel),Friday,2024-03,Reservations with Financials-14.xlsx,unknown_pms
E1G1YZMJ,2024-06-22,2024-06-23,1,Double Queen,,140.4,159.56,2023-10-27,239,140.4,Hotels.com,Saturday,2024-06,Reservations with Financials-14.xlsx,unknown_pms
E1D5EZDK,2024-06-10,2024-06-12,2,Double Queen,,300.0,340.95,2023-10-27,227,150.0,Booking.com,Monday,2024-06,Reservations with Financials-14.xlsx,unknown_pms
E1GEWBT0,2024-06-06,2024-06-08,2,Small Queen,,250.0,284.13,2023-10-29,221,125.0,Booking.com,Thursday,2024-06,Reservations with Financials-14.xlsx,unknown_pms
E15GWBCR,2024-01-02,2024-01-03,1,Small Queen,,72.0,81.83,2023-11-05,58,72.0,Hotels.com,Tuesday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E1FC45AZ,2024-05-24,2024-05-25,1,Double Queen,,180.0,204.57,2023-11-05,201,180.0,Booking.com,Friday,2024-05,Reservations with Financials-14.xlsx,unknown_pms
E15JFSHX,2024-01-31,2024-02-01,1,Small Queen,,60.3,68.53,2023-11-06,86,60.3,Expedia,Wednesday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E17QJYBE,2024-07-08,2024-07-09,1,Double Queen,,142.2,161.61,2023-11-08,243,142.2,Hotels.com,Monday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E17K3NH2,2024-07-08,2024-07-09,1,Double Queen,,142.2,161.61,2023-11-08,243,142.2,Hotels.com,Monday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E1GCRFBM,2024-07-08,2024-07-09,1,Double Queen,,142.2,161.61,2023-11-08,243,142.2,Hotels.com,Monday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E1F68S8A,2024-07-08,2024-07-09,1,Double Queen,,142.2,161.61,2023-11-08,243,142.2,Hotels.com,Monday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E16R1ZTN,2024-01-10,2024-01-11,1,Double Queen,,75.6,85.92,2023-11-10,61,75.6,Hotels.com,Wednesday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E16UZ8E5,2024-01-10,2024-01-11,1,Double Queen,,75.6,85.92,2023-11-10,61,75.6,Hotels.com,Wednesday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E19JRBZR,2024-04-11,2024-04-12,1,Standard King,,69.0,78.42,2023-11-11,152,69.0,Google (Ads Hotel),Thursday,2024-04,Reservations with Financials-14.xlsx,unknown_pms
E1BM6HP1,2024-01-02,2024-01-06,4,Standard King,,407.0,462.56,2023-11-12,51,101.75,Booking.com,Tuesday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E100X7PS,2024-02-09,2024-02-10,1,Standard King,,75.6,85.92,2023-11-13,88,75.6,Hotels.com,Friday,2024-02,Reservations with Financials-14.xlsx,unknown_pms
E1892CX4,2024-06-20,2024-06-21,1,Standard Queen,,131.0,148.88,2023-11-19,214,131.0,Reservation Import,Thursday,2024-06,Reservations with Financials-14.xlsx,unknown_pms
E1400PM3,2024-03-18,2024-03-19,1,Standard Queen,,72.0,81.83,2023-11-21,118,72.0,Expedia,Monday,2024-03,Reservations with Financials-14.xlsx,unknown_pms
E1E4PES3,2024-05-13,2024-05-14,1,Standard King,,106.0,120.47,2023-11-22,173,106.0,Reservation Import,Monday,2024-05,Reservations with Financials-14.xlsx,unknown_pms
E1BAYS5T,2024-05-25,2024-05-27,2,Double Queen,,349.0,396.64,2023-11-22,185,174.5,Booking.com,Saturday,2024-05,Reservations with Financials-14.xlsx,unknown_pms
E12RR686,2024-03-19,2024-03-20,1,Small Queen,,74.0,84.1,2023-11-22,118,74.0,Booking.com,Tuesday,2024-03,Reservations with Financials-14.xlsx,unknown_pms
E1EXMPZX,2024-04-25,2024-04-27,2,Small Queen,,130.0,147.75,2023-11-23,154,65.0,Booking.com,Thursday,2024-04,Reservations with Financials-14.xlsx,unknown_pms
E1CZY1TW,2024-03-16,2024-03-22,6,Double Queen,,541.8,615.76,2023-11-23,114,90.3,Hotels.com,Saturday,2024-03,Reservations with Financials-14.xlsx,unknown_pms
E1E5J09A,2024-01-02,2024-01-05,3,Double Queen,,310.5,352.88,2023-11-26,37,103.5,Expedia,Tuesday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
E199H4GZ,2024-07-16,2024-07-17,1,Double Queen,,168.0,190.93,2023-11-27,232,168.0,Reservation Import,Tuesday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E18W27VP,2024-07-16,2024-07-17,1,Double Queen,,168.0,190.93,2023-11-27,232,168.0,Reservation Import,Tuesday,2024-07,Reservations with Financials-14.xlsx,unknown_pms
E14U2RJW,2024-05-24,2024-05-27,3,Standard King,,474.0,538.7,2023-11-27,179,158.0,Reservation Import,Friday,2024-05,Reservations with Financials-14.xlsx,unknown_pms
E1DE6M5J,2024-01-04,2024-01-05,1,Standard Queen,,82.8,94.1,2023-11-27,38,82.8,Expedia,Thursday,2024-01,Reservations with Financials-14.xlsx,unknown_pms
